Date,City,Country,co,no2,o3,pm10,pm25,so2
1/10/2020,Monterrey,MX,2.3,0,0,91,46,0
1/10/2020,Morelia,MX,28.4,17.4,13.5,71,85,15.2
1/10/2020,Moscow,RU,2.2,15.3,13.5,10,25,0.8
1/10/2020,Mumbai,IN,6.6,18.9,8.6,87,155,4.3
1/10/2020,Muzaffarnagar,IN,5.8,15.3,6.5,85,181,3
1/10/2020,Mysore,IN,3.7,0.8,22.6,34,84,2.8
1/10/2020,Nagano,JP,3.4,7.5,24.8,6,13,1.5
1/10/2020,Nagasaki,JP,4.5,7.5,21.6,17,57,1.5
1/10/2020,Nagoya,JP,3.4,9.3,23.3,5,21,2.9
1/10/2020,Nagpur,IN,2.8,16.4,17.5,47,66,2.2
1/10/2020,Naha,JP,4.5,8.4,31.2,15,42,1.5
1/10/2020,Nanchang,CN,8.7,17.4,3.7,21,70,2.1
1/10/2020,Nanjing,CN,4.6,21.1,9.4,39,85,2.1
1/10/2020,Nanning,CN,7.3,8.7,26.9,45,76,4.1
1/10/2020,Nantes,FR,0.1,10.3,27.7,11,22,0.6
1/10/2020,Naples,IT,11.8,24.7,6.4,64,150,3.2
1/10/2020,Nara-shi,JP,4.5,6.5,26.4,10,30,2.9
1/10/2020,Nashik,IN,6.6,2.4,24.7,66,106,2
1/10/2020,Netanya,IL,145,7.5,18.6,14,42,0.4
1/10/2020,Newport,GB,2.3,9.1,23.6,9,21,5.7
1/10/2020,Niigata,JP,2.3,6.5,24.1,5,13,1.5
1/10/2020,Ningbo,CN,9.1,26.1,1.7,51,112,4.1
1/10/2020,Niš,RS,19.8,17.2,5,105,197,8.1
1/10/2020,Novi Sad,RS,12.9,17.3,3.6,82,173,7.3
1/10/2020,Okayama,JP,5.6,10.2,21.6,9,38,4.3
1/10/2020,Osaka,JP,3.4,9.3,25.6,9,30,1.5
1/10/2020,Oviedo,ES,0.1,10.6,18.7,20,34,2.1
1/10/2020,Pachuca de Soto,MX,7.6,15.1,28.9,46,62,3.4
