,,,median,median,median,median,median,median
Specie,,,co,no2,o3,pm10,pm25,so2
Date,City,Country,,,,,,
1/10/2019,Hsinchu,TW,5.2,14.9,13.6,51.0,76.0,2.9
1/10/2019,Hyderabad,IN,7.2,22.7,12.0,107.0,162.0,6.4
1/10/2019,Hāpur,IN,9.5,26.6,4.5,150.0,238.0,5.0
1/10/2019,Incheon,KR,7.8,38.0,4.0,51.0,93.0,8.6
1/10/2019,Istanbul,TR,10.1,13.8,22.0,30.0,53.0,5.6
1/10/2019,Jacksonville,US,3.2,4.6,12.6,13.0,26.0,1.1
1/10/2019,Jaipur,IN,10.9,9.7,12.5,92.0,153.0,5.3
1/10/2019,Jeju City,KR,4.5,13.0,26.4,18.0,50.0,2.9
1/10/2019,Jeonju,KR,5.6,25.1,7.3,53.0,109.0,7.2
1/10/2019,Jerusalem,IL,3.4,19.1,29.9,26.0,50.0,0.9
1/10/2019,Jieyang,CN,10.0,14.7,30.1,55.0,119.0,7.1
1/10/2019,Jinan,CN,0.1,22.4,8.2,82.0,163.0,7.1
1/10/2019,Johannesburg,ZA,4.7,3.2,11.6,30.0,57.0,1.1
1/10/2019,Kagoshima,JP,3.4,7.5,20.8,10.0,46.0,2.9
1/10/2019,Kanazawa,JP,2.3,9.3,22.4,6.0,21.0,4.3
1/10/2019,Kaohsiung,TW,7.8,24.1,12.1,71.0,127.0,5.8
1/10/2019,Karaj,IR,0.0,0.0,0.0,0.0,0.0,0.0
1/10/2019,Katowice,PL,9.0,13.4,7.7,54.0,152.0,7.3
1/10/2019,Kecskemét,HU,5.6,11.2,15.3,43.0,52.0,1.3
1/10/2019,Keelung,TW,6.2,12.1,14.5,19.0,30.0,2.9
1/10/2019,Kobe,JP,4.5,25.1,7.3,12.0,53.0,5.8
1/10/2019,Kochi,JP,4.5,7.5,15.2,8.0,30.0,2.9
1/10/2019,Kolkata,IN,8.6,31.6,2.9,163.0,240.0,9.1
1/10/2019,Kraków,PL,10.7,15.8,8.1,58.0,161.0,4.9
1/10/2019,Kumamoto,JP,3.4,12.1,13.6,12.0,46.0,2.9
1/10/2019,Kunming,CN,8.1,11.5,14.7,30.0,53.0,5.1
1/10/2019,Kyoto,JP,5.6,26.0,6.4,16.0,55.0,4.3
1/10/2019,Kütahya,TR,6.0,11.5,12.2,20.0,59.0,10.7
1/10/2019,Lampang,TH,0.1,2.4,9.9,39.0,85.0,1.1
1/10/2019,Lanzhou,CN,9.1,20.6,17.5,70.0,124.0,11.7
1/10/2019,Las Vegas,US,0.1,10.3,5.3,19.0,37.0,1.4
