date, pm25
2017/2/26, 167
2017/2/27, 173
2017/2/28, 212
2017/3/1, 191
2017/3/2, 194
2017/3/3, 166
2017/3/4, 156
2017/3/5, 152
2017/3/6, 142
2017/3/7, 165
2017/3/8, 177
2017/3/9, 152
2017/3/10, 121
2017/3/11, 90
2017/3/12, 92
2017/3/13, 166
2017/3/14, 234
2017/3/15, 171
2017/3/16, 178
2017/3/17, 162
2017/3/18, 140
2017/3/19, 125
2017/3/20, 96
2017/3/21, 118
2017/3/22, 142
2017/3/23, 153
2017/3/24, 150
2017/3/25, 137
2017/3/26, 140
2017/3/27, 138
2017/3/28, 166
2017/3/29, 158
2017/3/30, 155
2017/3/31, 146
2017/4/1, 144
2016/10/2, 66
2016/10/3, 72
2016/10/4, 71
2016/10/5, 62
2016/10/6, 68
2016/10/7, 70
2016/10/8, 48
2016/10/9, 65
2016/10/10, 53
2016/10/11, 76
2016/10/12, 102
2016/10/13, 109
2016/10/14, 97
2016/10/15, 141
2016/10/16, 163
2016/10/17, 164
2016/10/18, 170
2016/10/19, 160
2016/10/20, 161
2016/10/21, 162
2016/10/22, 165
2016/10/23, 162
2016/10/24, 168
2016/10/25, 147
2016/10/26, 125
2016/10/27, 139
2016/10/28, 163
2016/10/29, 168
2016/10/30, 188
2016/10/31, 197
2016/11/1, 210
2016/11/2, 212
2016/11/3, 165
2016/11/4, 164
2016/11/5, 171
2016/11/6, 168
2016/11/7, 161
2016/11/8, 162
2016/11/9, 168
2016/11/10, 161
2016/11/11, 173
2016/11/12, 182
2016/11/13, 180
2016/11/14, 179
2016/11/15, 189
2016/11/16, 211
2016/11/17, 205
2016/11/18, 190
2016/11/19, 166
2016/11/20, 178
2016/11/29, 168
2016/11/30, 209
2016/12/2, 180
2016/12/3, 190
2016/12/4, 177
2016/12/5, 168
2016/12/6, 171
2016/12/7, 174
2016/12/8, 172
2016/12/9, 180
2016/12/10, 186
2016/12/11, 196
2016/12/12, 171
2016/12/13, 183
2016/12/14, 171
2016/12/15, 168
2016/12/16, 157
2016/12/17, 170
2016/12/18, 171
2016/12/19, 134
2016/12/20, 149
2016/12/21, 164
2016/12/22, 177
2016/12/23, 185
2016/12/24, 199
2016/12/25, 200
2016/12/26, 243
2016/12/27, 196
2016/12/28, 180
2016/12/29, 171
2016/12/30, 190
2016/12/31, 204
2017/1/1, 230
2017/1/2, 235
2016/7/2, 68
2016/7/3, 50
2016/7/4, 69
2016/7/5, 73
2016/7/6, 76
2016/7/7, 77
2016/7/8, 76
2016/7/9, 76
2016/7/10, 77
2016/7/11, 77
2016/7/12, 85
2016/7/13, 84
2016/7/14, 84
2016/7/15, 71
2016/7/16, 80
2016/7/17, 69
2016/7/18, 52
2016/7/19, 51
2016/7/20, 64
2016/7/21, 61
2016/7/22, 73
2016/7/23, 77
2016/7/24, 79
2016/7/25, 70
2016/7/26, 61
2016/7/27, 67
2016/7/28, 67
2016/7/29, 66
2016/7/30, 60
2016/7/31, 54
2016/8/1, 59
2016/8/2, 53
2016/8/3, 57
2016/8/4, 44
2016/8/5, 38
2016/8/6, 46
2016/8/7, 47
2016/8/8, 47
2016/8/9, 58
2016/8/10, 61
2016/8/11, 49
2016/8/12, 50
2016/8/13, 53
2016/8/14, 61
2016/8/15, 45
2016/8/16, 37
2016/8/17, 39
2016/8/18, 47
2016/8/19, 53
2016/8/20, 54
2016/8/21, 50
2016/8/23, 42
2016/8/24, 46
2016/8/25, 72
2016/8/26, 59
2016/8/27, 49
2016/8/28, 52
2016/8/29, 42
2016/8/30, 61
2016/8/31, 65
2016/9/1, 51
2016/9/2, 49
2016/9/3, 58
2016/9/4, 78
2016/9/5, 72
2016/9/6, 52
