date, pm25, pm10, o3, no2, so2, co
2019/4/15, 13, 8, 16, 5, , 
2019/4/16, 17, 13, 13, 6, , 
2019/4/17, 22, 9, 14, 4, , 
2019/4/18, 19, 6, 10, 7, , 
2019/4/19, 23, 5, 17, 3, , 
2019/4/20, 14, 8, 13, 2, , 
2019/4/21, 15, 11, 17, 3, , 
2019/4/22, 26, 11, 13, 5, , 
2019/4/23, 36, 6, 14, 3, , 
2019/4/24, 17, 9, 17, 3, , 
2019/4/25, 16, 14, 13, 6, , 
2019/4/26, 20, 10, 16, 4, , 
2019/4/27, 19, 14, 17, 1, , 
2019/4/28, 14, 8, 16, 5, , 
2019/4/29, 19, 11, 14, 7, , 
2019/4/30, 16, 14, 15, 7, , 
2019/5/1, 25, 17, 18, 3, , 
2019/5/2, 31, 19, 5, 5, , 
2019/5/3, 28, 11, 13, 4, , 
2019/5/4, 21, 9, 11, 4, , 
2019/5/5, 18, , , , , 
2019/5/7, 18, 18, 12, 3, , 
2019/5/8, 19, 15, 11, 4, , 
2019/5/9, 15, 15, 10, 6, , 
2019/5/10, 13, 18, 11, 10, , 
2019/5/11, 20, 21, 14, 9, , 
2019/5/12, 45, 10, 13, 1, , 
2019/5/13, 23, 18, 16, 3, , 
2019/5/14, 25, 12, 11, 4, , 
2019/5/15, 30, 6, 14, 4, , 
2019/5/16, 14, 6, 11, 4, , 
2019/5/17, 18, 7, 18, 2, , 
2019/5/18, 8, 7, 17, 3, , 
2019/5/19, 9, 10, 16, 5, , 
2019/5/20, 30, 6, 15, 2, , 
2019/5/21, 18, 8, 14, 4, , 
2019/5/22, 12, 11, 11, 5, , 
2019/5/23, 15, 13, 12, 4, , 
2019/5/24, 22, 9, 14, 2, , 
2019/5/25, 16, 6, 11, 3, , 
2019/5/26, 18, 10, 8, 5, , 
2019/5/27, 19, 15, 17, 4, , 
2019/5/28, 36, 13, 14, 2, , 
2019/5/29, 39, 14, 12, 3, , 
2019/5/30, 34, 15, 14, 5, , 
2019/5/31, 39, 15, 14, 3, , 
2019/6/1, 24, 10, 15, 3, , 
2019/6/2, 20, 10, 16, 2, , 
2019/6/3, 16, 9, 14, 3, , 
2019/6/4, 7, 13, 16, 1, , 
2019/6/5, 17, 10, 14, 2, , 
2019/6/6, 22, 7, 15, 2, , 
2019/6/7, 9, 7, 13, 2, , 
2019/6/8, 6, 11, 13, 2, , 
2019/6/9, 14, 8, 10, 4, , 
2019/6/10, 14, 12, 12, 6, , 
2019/6/11, 27, 15, 9, 5, , 
2019/6/12, 21, 18, 10, 8, , 
2019/6/13, 22, 17, 13, 3, , 
2019/6/14, 17, 11, 13, 2, , 
2019/6/15, 9, 11, 14, 3, , 
2019/6/16, 21, 10, 13, 2, , 
2019/6/17, 17, 11, 12, 2, , 
2019/6/18, 13, 9, 12, 1, , 
2019/6/19, 9, 15, 12, 2, , 
2019/6/20, 7, 10, 12, 2, , 
2019/6/21, 16, 13, 6, 3, , 
2019/6/22, 25, , , , , 
2019/6/27, 29, 8, 14, 2, , 
2019/6/28, 22, 7, 13, 3, , 
2019/6/29, 10, 9, 15, 3, , 
2019/6/30, 21, 7, 11, 4, , 
2019/7/1, 12, 10, 16, 4, , 
2019/1/2, 34, 6, 10, 7, , 
2019/1/3, 15, 8, 10, 3, , 
2019/1/4, 25, 9, 14, 3, , 
2019/1/5, 12, 7, 8, 8, , 
2019/1/6, 11, 6, 15, 3, , 
2019/1/7, 13, 9, 14, 6, , 
2019/1/8, 24, 9, 7, 12, , 
2019/1/9, 22, 7, 9, 8, , 
2019/1/10, 28, 9, 11, 5, , 
2019/1/11, 24, 13, 4, 11, , 
2019/1/12, 23, 17, 2, 12, , 
2019/1/13, 37, 13, 3, 8, , 
2019/1/14, 39, 11, 2, 10, , 
2019/1/15, 31, 7, 3, 10, , 
2019/1/16, 37, 18, 1, 14, , 
2019/1/17, 60, 12, 8, 11, , 
2019/1/18, 30, 8, 13, 4, , 
2019/1/19, 25, 8, 16, 3, , 
2019/1/21, 15, 12, 5, 9, , 
2019/1/22, 28, 5, 9, 6, , 
2019/1/23, 17, 9, 8, 7, , 
2019/1/24, 32, 10, 2, 9, , 
2019/1/25, 37, 11, 1, 9, , 
2019/1/26, 37, 9, 3, 8, , 
2019/1/27, 33, 7, 5, 5, , 
2019/1/28, 26, 8, 6, 8, , 
2019/1/29, 16, 17, 2, 14, , 
2019/1/30, 42, 17, 1, 13, , 
2019/1/31, 48, 23, 1, 12, , 
