date, pm25, pm10, o3, no2, so2, co
2018/7/27, 67, 32, , , , 
2018/7/28, 71, 16, , , , 
2018/7/29, 40, 16, , , , 
2018/7/30, 45, 12, , , , 
2018/7/31, 31, 14, , , , 
2018/8/1, 28, 22, , , , 
2018/8/2, 50, 31, , , , 
2018/8/3, 70, 29, , , , 
2018/8/4, 72, 19, , , , 
2018/8/5, 45, 31, , , , 
2018/8/6, 57, 24, , , , 
2018/8/7, 49, 18, , , , 
2018/8/8, 37, 28, , , , 
2018/8/9, 37, 24, , , , 
2018/8/10, 55, 19, , , , 
2018/8/11, 45, 20, , , , 
2018/8/12, 50, 16, , , , 
2018/8/13, 37, 12, , , , 
2018/8/14, 26, 21, , , , 
2018/8/15, 48, 21, , , , 
2018/8/16, 52, 23, , , , 
2018/8/17, 56, 25, , , , 
2018/8/18, 56, 24, , , , 
2018/8/19, 58, 19, , , , 
2018/8/20, 37, 22, , , , 
2018/8/21, 25, 18, , , , 
2018/8/22, 38, 15, , , , 
2018/8/23, 31, 21, , , , 
2018/8/24, 44, 26, , , , 
2018/8/25, 57, 19, , , , 
2018/8/26, 50, 13, , , , 
2018/8/27, 40, 14, , , , 
2018/8/28, 44, 14, , , , 
2018/8/29, 38, 17, , , , 
2018/8/30, 44, 16, , , , 
2018/8/31, 40, 21, , , , 
2018/9/1, 49, 68, , , , 
2018/9/2, 67, 77, , , , 
2018/9/3, 66, 17, , , , 
2018/9/4, 30, 9, , , , 
2018/9/5, 24, 8, , , , 
2018/9/6, 15, 11, , , , 
2018/9/7, 24, 18, , , , 
2018/9/8, 36, 14, , , , 
2018/9/9, 23, 13, , , , 
2018/9/10, 29, 14, , , , 
2018/9/11, 33, 16, , , , 
2018/9/12, 37, 18, , , , 
2018/9/13, 37, 17, , , , 
2018/9/14, 33, 16, , , , 
2018/9/15, 36, 14, , , , 
2018/9/16, 32, 22, , , , 
2018/9/17, 29, 28, , , , 
2018/9/18, 37, 16, , , , 
2018/9/19, 27, 16, , , , 
2018/9/20, 30, 22, , , , 
2018/9/21, 37, 21, , , , 
2018/9/22, 36, 14, , , , 
2018/9/23, 24, 14, , , , 
2018/9/24, 31, 14, , , , 
2018/9/25, 32, 14, , , , 
2018/9/26, 26, 13, , , , 
2018/9/27, 26, 14, , , , 
2018/9/28, 28, 17, , , , 
2018/9/29, 37, 15, , , , 
2018/9/30, 28, 17, , , , 
2018/10/1, 31, 12, , , , 
2018/4/2, 8, 9, , , , 
2018/4/3, 12, 10, , , , 
2018/4/4, 12, 9, , , , 
2018/4/5, 11, 10, , , , 
2018/4/6, 8, 11, , , , 
2018/4/7, 10, 10, , , , 
2018/4/8, 12, 9, , , , 
2018/4/9, 13, 9, , , , 
2018/4/10, 12, 14, , , , 
2018/4/11, 20, 16, , , , 
2018/4/12, 16, 15, , , , 
2018/4/13, 12, 18, , , , 
2018/4/14, 14, 14, , , , 
2018/4/15, 13, 11, , , , 
2018/4/16, 18, 18, , , , 
2018/4/17, 21, 20, , , , 
2018/4/18, 18, 14, , , , 
2018/4/19, 17, 14, , , , 
2018/4/20, 14, 12, , , , 
2018/4/21, 14, 9, , , , 
2018/4/22, 18, 8, , , , 
2018/4/23, 15, 6, , , , 
2018/4/24, 12, 8, , , , 
2018/4/25, 12, 6, , , , 
2018/4/26, 13, 7, , , , 
2018/4/27, 17, 9, , , , 
2018/4/28, 17, 10, , , , 
2018/4/29, 13, 6, , , , 
2018/4/30, 6, 7, , , , 
2018/5/1, 10, 8, , , , 
2018/5/2, 12, 13, , , , 
2018/5/3, 20, 14, , , , 
2018/5/4, 25, 16, , , , 
2018/5/5, 30, 15, , , , 
2018/5/6, 23, 14, , , , 
2018/5/7, 17, 11, , , , 
2018/5/8, 12, 10, , , , 
2018/5/9, 20, 8, , , , 
2018/5/10, 20, 13, , , , 
2018/5/11, 28, 13, , , , 
2018/5/12, 19, 14, , , , 
2018/5/13, 9, 12, , , , 
2018/5/14, 13, 10, , , , 
2018/5/15, 22, 12, , , , 
2018/5/16, 20, 14, , , , 
2018/5/17, 20, 12, , , , 
2018/5/18, 21, 10, , , , 
2018/5/19, 20, 13, , , , 
2018/5/20, 28, 15, , , , 
2018/5/21, 37, 10, , , , 
2018/5/22, 17, 14, , , , 
2018/5/23, 23, 16, , , , 
2018/5/24, 23, 14, , , , 
2018/5/25, 24, 15, , , , 
2018/5/26, 25, 10, , , , 
2018/5/27, 19, 7, , , , 
2018/5/28, 14, 7, , , , 
2018/5/29, 16, 7, , , , 
2018/5/30, 14, 11, , , , 
2018/5/31, 24, 10, , , , 
2018/6/1, 17, 9, , , , 
2018/6/2, 13, 17, , , , 
2018/6/3, 45, 12, , , , 
2018/6/4, 28, 14, , , , 
2018/6/5, 37, 12, , , , 
2018/6/6, 29, 12, , , , 
2018/6/7, 30, 10, , , , 
2018/6/8, 25, 15, , , , 
2018/6/9, 31, 11, , , , 
2018/6/10, 28, 13, , , , 
2018/6/11, 38, 11, , , , 
2018/6/12, 26, 17, , , , 
2018/6/13, 38, 21, , , , 
2018/6/14, 48, 19, , , , 
2018/6/15, 49, 16, , , , 
2018/6/16, 40, 15, , , , 
2018/6/17, 34, 16, , , , 
2018/6/18, 36, 8, , , , 
2018/6/19, 10, 9, , , , 
2018/6/20, 18, 11, , , , 
2018/6/21, 24, 15, , , , 
2018/6/22, 31, 16, , , , 
2018/6/23, 36, 16, , , , 
2018/6/24, 39, 22, , , , 
2018/6/25, 61, 21, , , , 
2018/6/26, 57, 16, , , , 
2018/6/27, 36, 12, , , , 
2018/6/28, 29, 13, , , , 
2018/6/29, 35, 12, , , , 
2018/6/30, 36, 16, , , , 
2018/7/1, 49, 20, , , , 
2018/1/2, 29, 8, , , , 
2018/1/3, 24, 6, , , , 
2018/1/4, 15, 9, , , , 
2018/1/5, 15, 12, , , , 
2018/1/6, 16, 8, , , , 
2018/1/7, 10, 9, , , , 
2018/1/8, 13, 9, , , , 
2018/1/9, 11, 8, , , , 
2018/1/10, 7, 10, , , , 
2018/1/11, 15, 10, , , , 
2018/1/12, 14, 10, , , , 
2018/1/13, 18, 14, , , , 
2018/1/14, 25, 19, , , , 
2018/1/15, 35, 18, , , , 
2018/1/16, 26, 16, , , , 
2018/1/17, 26, 21, , , , 
2018/1/18, 29, 20, , , , 
2018/1/19, 27, 21, , , , 
2018/1/20, 30, 16, , , , 
2018/1/21, 23, 9, , , , 
2018/1/22, 10, 8, , , , 
2018/1/23, 8, 9, , , , 
2018/1/24, 13, 10, , , , 
