date, pm25, pm10, o3, no2, so2, co
2019/1/27, 87, 11, 19, 5, , 
2019/1/28, 46, 7, 20, 7, , 
2019/1/29, 28, 10, 22, 7, , 
2019/1/30, 39, 16, 20, 10, 1, 
2019/1/31, 53, 26, 13, 12, 1, 
2019/2/1, 73, 42, 15, 15, , 
2019/2/2, 96, 47, 9, 7, , 
2019/2/3, 121, 39, 16, 4, , 
2019/2/4, 114, 19, 19, 7, , 
2019/2/5, 68, 15, 18, 8, , 
2019/2/6, 58, 19, 18, 10, 1, 
2019/2/7, 63, 17, 19, 10, 1, 
2019/2/8, 62, 16, 24, 6, , 
2019/2/9, 55, 8, 30, 4, , 
2019/2/10, 33, 5, 25, 4, , 
2019/2/11, 18, 4, 27, 3, , 
2019/2/12, 15, 6, 31, 4, , 
2019/2/13, 16, 24, 16, 8, , 
2019/2/14, 54, 23, 21, 10, 1, 
2019/2/15, 75, 24, 15, 17, 1, 
2019/2/16, 66, 20, 22, 13, , 
2019/2/17, 61, 28, 16, 13, , 
2019/2/18, 70, 32, 17, 17, , 
2019/2/19, 84, 26, 26, 9, , 
2019/2/20, 74, 17, 26, 6, , 
2019/2/21, 53, 23, 25, 8, , 
2019/2/22, 66, 15, 30, 4, 1, 
2019/2/23, 59, 14, 21, 7, , 
2019/2/24, 40, 26, 25, 11, 1, 
2019/2/25, 68, 27, 21, 12, 1, 
2019/2/26, 73, 40, 19, 12, 1, 
2019/2/27, 90, 42, 21, 14, , 
2019/2/28, 114, 44, 20, 11, 1, 
2019/3/1, 88, 45, 25, 5, , 
2019/3/2, 119, 21, 28, 5, , 
2019/3/3, 68, 16, 25, 4, , 
2019/3/4, 58, 8, 35, 3, , 
2019/3/5, 33, 8, 30, 4, , 
2019/3/6, 30, 11, 26, 8, , 
2019/3/7, 45, 8, 31, 5, , 
2019/3/8, 35, 6, 33, 4, , 
2019/3/9, 15, 7, 34, 3, , 
2019/3/10, 25, 6, 35, 3, , 
2019/3/11, 22, 6, 30, 4, , 
2019/3/12, 24, 9, 32, 4, , 
2019/3/13, 30, 6, 33, 4, , 
2019/3/14, 25, 5, 31, 4, , 
2019/3/15, 16, 6, 34, 3, , 
2019/3/16, 18, 6, 35, 3, , 
2019/3/17, 18, 5, 33, 3, , 
2019/3/18, 20, 5, 32, 4, , 
2019/3/19, 18, 7, 32, 4, , 
2019/3/20, 20, 14, 34, 8, , 
2019/3/21, 36, 24, 23, 7, , 
2019/3/22, 66, 25, 19, 9, , 
2019/3/23, 77, 31, 22, 5, , 
2019/3/24, 82, 24, 33, 4, , 
2019/3/25, 76, 9, 33, 4, , 
2019/3/26, 36, 7, 33, 3, , 
2019/3/27, 29, 8, 30, 3, , 
2019/3/28, 31, 10, 23, 4, , 
2019/3/29, 41, 15, 26, 7, , 
2019/3/30, 50, 17, 34, 7, , 
2019/3/31, 53, 23, 36, 3, , 
2019/4/1, 65, 21, 34, 8, , 
2018/10/2, 45, 10, 20, 4, , 
2018/10/3, 28, 7, 28, 1, , 
2018/10/4, 22, 11, 21, 6, , 
2018/10/5, 25, 17, 29, 7, , 
2018/10/6, 48, 22, 31, 7, , 
2018/10/7, 55, 18, 26, 5, , 
2018/10/8, 54, 13, 25, 8, , 
2018/10/9, 33, 28, 20, 11, , 
2018/10/10, 51, 35, 34, 14, , 
2018/10/11, 76, 42, 42, 8, , 
2018/10/12, 81, 44, 35, 10, , 
2018/10/13, 83, 40, 41, 9, , 
2018/10/14, 86, 39, 40, 3, , 
2018/10/15, 84, 43, 31, 8, , 
2018/10/16, 74, 59, 27, 19, 1, 
2018/10/17, 86, 64, 31, 18, , 
2018/10/18, 105, 54, 15, 8, , 
2018/10/19, 119, 27, 25, 7, , 
2018/10/20, 62, 24, 28, 5, , 
2018/10/21, 62, 18, 24, 4, , 
2018/10/22, 52, 17, 23, 7, , 
2018/10/23, 52, 9, 22, 3, , 
2018/10/24, 34, 8, 31, 3, , 
2018/10/25, 21, 7, 27, 2, , 
2018/10/26, 21, 11, 23, 6, , 
2018/10/27, 27, 10, 24, 2, , 
2018/10/28, 40, 6, 19, 1, , 
2018/10/29, 21, 7, 20, 2, , 
2018/10/30, 21, 25, 21, 5, , 
2018/10/31, 53, 13, 21, 5, , 
2018/11/1, 31, 22, 8, 13, , 
2018/11/2, 52, 19, 18, 10, , 
2018/11/3, 60, 23, 13, 7, , 
2018/11/4, 60, 31, 6, 7, , 
2018/11/5, 81, 39, 10, 11, 1, 
2018/11/6, 103, 34, 15, 10, , 
2018/11/7, 92, 36, 7, 11, , 
