,,,median,median,median,median,median,median
Specie,,,co,no2,o3,pm10,pm25,so2
Date,City,Country,,,,,,
1/10/2020,Chuncheon,KR,6.7,15.8,7.3,50.0,114.0,4.3
1/10/2020,Concepción,CL,11.0,2.8,10.9,20.0,21.0,1.7
1/10/2020,Copenhagen,DK,2.9,11.4,8.2,12.0,35.0,0.8
1/10/2020,Cuernavaca,MX,0.6,18.9,27.2,29.0,34.0,3.9
1/10/2020,Daegu,KR,7.8,31.5,8.0,41.0,99.0,5.8
1/10/2020,Daejeon,KR,7.8,27.8,5.6,48.0,102.0,4.3
1/10/2020,Darwin,AU,3.6,0.3,8.1,10.0,9.0,0.1
1/10/2020,Delhi,IN,11.1,17.9,4.5,120.0,188.0,4.9
1/10/2020,Denver,US,1.9,6.4,7.8,16.0,25.0,0.6
1/10/2020,Dongguan,CN,8.2,21.1,26.9,57.0,112.0,3.6
1/10/2020,Donostia / San Sebastián,ES,0.1,9.2,27.7,18.0,30.0,1.1
1/10/2020,Douliu,TW,5.6,13.9,17.6,54.0,87.0,4.3
1/10/2020,East London,ZA,8.8,2.3,5.3,14.0,25.0,9.7
1/10/2020,Edinburgh,GB,5.8,12.8,24.0,9.0,21.0,1.4
1/10/2020,Erzurum,TR,4.6,9.7,22.7,35.0,103.0,8.9
1/10/2020,Eskişehir,TR,9.9,36.8,7.1,59.0,153.0,9.7
1/10/2020,Foshan,CN,7.4,18.3,23.6,51.0,91.0,4.1
1/10/2020,Fukuoka,JP,5.6,12.1,20.0,17.0,57.0,1.5
1/10/2020,Fushun,CN,12.7,21.1,8.6,82.0,167.0,11.7
1/10/2020,Fuzhou,CN,7.5,14.7,32.5,54.0,104.0,2.6
1/10/2020,Gandhinagar,IN,6.3,3.8,9.6,71.0,120.0,5.3
1/10/2020,Gdańsk,PL,3.9,7.4,6.2,10.0,48.0,1.3
1/10/2020,Gent,BE,0.1,7.8,23.6,10.0,21.0,9.7
1/10/2020,Ghāziābād,IN,13.2,25.9,3.3,114.0,192.0,4.4
1/10/2020,Gifu-shi,JP,3.4,4.7,24.1,4.0,21.0,2.9
1/10/2020,Guadalajara,MX,6.7,16.7,6.8,35.0,64.0,2.2
1/10/2020,Guangzhou,CN,8.3,27.5,16.7,56.0,93.0,3.6
1/10/2020,Guiyang,CN,10.9,7.4,8.2,21.0,53.0,3.1
1/10/2020,Gwangju,KR,5.6,19.5,16.0,29.0,70.0,4.3
1/10/2020,Győr,HU,10.1,14.1,6.6,47.0,133.0,1.3
1/10/2020,Haarlem,NL,1.6,5.7,26.4,16.0,23.0,0.1
1/10/2020,Haifa,IL,17.8,8.6,19.0,14.0,49.0,1.0
1/10/2020,Haikou,CN,5.9,4.6,30.1,31.0,53.0,2.1
1/10/2020,Hamburg,DE,0.1,9.6,21.6,10.0,34.0,1.6
1/10/2020,Hangzhou,CN,7.3,23.8,2.1,22.0,59.0,2.6
1/10/2020,Hanoi,VN,0.3,9.2,3.3,41.0,74.0,3.0
1/10/2020,Harbin,CN,10.9,29.3,19.9,87.0,190.0,20.3
1/10/2020,Hefei,CN,4.6,20.2,5.3,30.0,97.0,2.6
1/10/2020,Hegang,CN,7.6,13.3,25.2,68.0,144.0,9.2
1/10/2020,Hiroshima,JP,4.5,6.5,24.1,8.0,25.0,1.5
1/10/2020,Hong Kong,HK,8.0,21.3,31.0,40.0,82.0,2.3
1/10/2020,Hsinchu,TW,4.5,13.9,19.2,31.0,61.0,2.9
1/10/2020,Huế,VN,8.0,4.0,8.0,26.0,39.0,5.0
1/10/2020,Hyderabad,IN,5.3,12.5,11.8,86.0,161.0,2.5
1/10/2020,Hāpur,IN,6.6,19.1,5.2,94.0,171.0,3.8
1/10/2020,Incheon,KR,8.9,32.5,10.4,56.0,137.0,7.2
1/10/2020,Istanbul,TR,19.4,31.9,3.9,30.0,68.0,4.3
1/10/2020,Jacksonville,US,9.1,3.2,15.5,26.0,37.0,0.6
1/10/2020,Jaipur,IN,6.1,17.8,18.4,63.0,103.0,6.0
1/10/2020,Jeju City,KR,4.5,13.0,27.2,25.0,59.0,2.9
1/10/2020,Jeonju,KR,6.7,19.5,10.4,40.0,95.0,5.8
