date, pm25, o3, no2, so2, co
2017/5/1, 39, 17, 1, 1, 1
2017/5/2, 40, 17, 1, , 1
2017/5/4, 22, 16, 1, , 1
2017/5/5, 24, 16, 2, , 1
2017/5/6, 32, 16, , , 
2017/5/7, 26, 16, , , 1
2017/5/8, 28, 16, 1, , 
2017/5/9, 17, 18, 1, , 1
2017/5/10, 29, 17, 1, , 1
2017/5/11, 21, 13, , , 
2017/5/12, 17, 16, , 1, 
2017/5/13, 32, 15, , , 
2017/5/14, 23, 14, 3, , 1
2017/5/15, 32, 17, , , 
2017/5/16, 28, 14, , , 
2017/5/17, 19, 13, , , 
2017/5/18, 21, 11, 2, , 1
2017/5/19, 32, 14, 2, , 1
2017/5/20, 62, 13, , , 
2017/5/21, 25, 13, , , 
2017/5/22, 25, 16, 2, , 
2017/5/23, 29, 16, 1, , 1
2017/5/24, 27, 14, 1, 3, 
2017/5/25, 23, 12, 1, 2, 
2017/5/26, 34, 15, , , 
2017/5/27, 25, 15, , , 
2017/5/28, 25, 13, , , 
2017/5/29, 34, 14, 2, 3, 1
2017/5/30, 38, 12, , , 
2017/5/31, 49, 13, , , 
2017/6/1, 24, 13, , , 
2017/6/2, 23, 14, 1, , 1
2017/6/3, 22, 14, , , 
2017/6/4, 31, 13, , , 
2017/6/5, 27, 11, 1, , 
2017/6/6, 27, 12, , , 
2017/6/7, 25, 11, 2, 3, 
2017/6/8, 26, 12, 1, , 1
2017/6/9, 29, 15, , , 
2017/6/10, 27, 15, 1, , 
2017/6/11, 25, 24, , , 1
2017/6/12, 38, 16, , , 
2017/6/13, 28, 16, 1, , 1
2017/6/14, 46, 13, , , 
2017/6/15, 27, 13, , , 
2017/6/16, 24, 11, 1, , 1
2017/6/17, 29, 14, , , 
2017/6/18, 19, 13, , , 
2017/6/19, 19, 8, , , 
2017/6/20, 19, 6, , , 
2017/6/21, 16, 12, 1, , 
2017/6/22, 23, 12, 1, , 
2017/6/23, 29, 12, , , 
2017/6/24, 32, 13, , , 
2017/6/25, 26, 12, 1, , 
2017/6/26, 24, 15, 1, , 1
2017/6/27, 36, 12, 1, , 
2017/6/28, 38, 14, 1, , 
2017/6/29, 38, 15, 1, , 
2017/6/30, 26, 16, 1, , 1
2017/7/1, 32, 17, , 1, 
2017/1/3, 36, 13, 4, , 1
2017/1/4, 36, 15, , , 1
2017/1/5, 22, 12, 1, , 1
2017/1/6, 25, 14, 2, , 1
2017/1/7, 29, 15, 1, , 1
2017/1/8, 31, 16, , , 1
2017/1/9, 25, 15, 1, , 1
2017/1/10, 25, 13, 5, , 2
2017/1/11, 40, 16, 1, , 1
2017/1/12, 26, 16, 1, , 1
2017/1/13, 17, 16, 1, , 1
2017/1/14, 23, 15, , , 1
2017/1/15, 25, 14, 1, , 1
2017/1/16, 29, 14, 3, , 1
2017/1/17, 37, 15, 1, , 1
2017/1/18, 33, 15, 7, , 1
2017/1/19, 33, 15, 5, , 2
2017/1/20, 44, 15, 2, , 1
2017/1/21, 31, 14, 1, , 1
2017/1/22, 22, 15, 2, , 1
2017/1/23, 33, 16, 1, , 1
2017/1/24, 26, 15, 1, , 3
2017/1/25, 47, 16, , , 1
2017/1/26, 24, 14, 1, , 1
2017/1/27, 22, 15, , , 1
2017/1/28, 19, 15, 1, , 1
2017/1/29, 19, 16, 1, , 1
2017/1/30, 22, 12, 4, , 2
2017/1/31, 34, 14, 1, , 1
2017/2/1, 27, 12, 4, , 2
2017/2/2, 42, 15, 2, , 1
2017/2/3, 31, 16, 1, , 1
2017/2/4, 30, 15, 3, , 1
2017/2/5, 33, 15, 1, , 1
2017/2/6, 28, 16, 1, , 1
2017/2/7, 29, 16, 1, , 1
2017/2/8, 31, 15, 4, , 2
2017/2/9, 27, 17, 1, , 1
2017/2/10, 29, 15, 1, , 1
2017/2/11, 30, 15, 1, , 1
2017/2/12, 24, 16, 5, 7, 1
2017/2/13, 38, 16, , , 1
2017/2/14, 42, 17, 2, , 1
2017/2/15, 34, 17, 1, , 1
2017/2/16, 21, 17, 1, , 1
2017/2/17, 25, 16, 1, , 1
2017/2/18, 19, 16, 1, , 1
2017/2/19, 25, 17, 1, , 1
2017/2/20, 36, 17, 3, , 1
2017/2/21, 25, 17, , , 1
2017/2/22, 23, 14, 4, 3, 2
2017/2/23, 50, 17, 4, , 2
2017/2/24, 41, 17, 1, , 1
2017/2/25, 33, 14, 1, , 1
2017/2/26, 34, 17, 1, , 1
2017/2/27, 21, 16, , , 1
2017/2/28, 33, 16, 2, , 1
2017/3/1, 37, 17, 1, , 1
2017/3/2, 25, 14, 1, , 1
2017/3/3, 21, 16, , , 1
2017/3/4, 26, 17, , , 1
2017/3/5, 26, 16, , , 1
2017/3/6, 28, 17, , , 1
2017/3/7, 33, 17, 1, , 1
2017/3/8, 28, 19, 1, , 1
2017/3/9, 17, 17, 1, , 1
2017/3/10, 25, 14, , , 1
2017/3/11, 37, 13, , , 1
2017/3/12, 33, 8, 1, , 1
2017/3/13, 43, 10, 2, , 1
2017/3/14, 45, 12, 4, , 2
2017/3/15, 42, 15, 2, , 1
2017/3/16, 53, 16, 1, , 1
2017/3/17, 32, 14, 1, , 1
2017/3/18, 26, 16, 2, , 1
2017/3/19, 25, 17, 3, 2, 1
2017/3/20, 39, 16, 1, 1, 1
2017/3/21, 25, 18, 1, , 1
2017/3/22, 27, 17, 3, , 2
2017/3/23, 37, 16, 1, , 
2017/3/24, 33, 17, 1, , 1
2017/3/25, 33, 18, 1, , 1
2017/3/26, 30, 18, , , 1
2017/3/27, 31, 16, 3, 5, 1
2017/3/28, 41, 17, 1, 1, 1
2017/3/29, 36, 17, 1, , 1
2017/3/30, 31, 18, , , 1
2017/3/31, 24, 18, , , 1
2017/4/1, 40, 18, , , 1
2016/10/2, 25, 8, 1, , 1
2016/10/3, 26, 10, 2, , 
2016/10/4, 19, 10, 1, , 1
2016/10/5, 21, 9, 2, , 1
2016/10/6, 23, 8, 2, , 1
2016/10/7, 28, 12, 1, , 1
2016/10/8, 33, 12, 1, , 1
2016/10/9, 37, 14, 1, , 
2016/10/10, 27, 11, , , 
2016/10/11, 12, , , , 
2016/10/13, 65, 13, 1, , 4
2016/10/14, 21, 13, 1, , 
